"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"MSCI EAFE  - ICE FUTURES U.S.",220802,2022-08-02,244041,ICUS,01,244 ,  405577,   34179,  151472,    1867,  279466,  146429,   47310,   17172,   20212,    1727,   11577,   29526,     657,  393955,  399200,   11622,    6377,   -3755,   -5311,   -3870,     -75,    4375,  -13673,    2083,   -6422,    2939,    -272,   -1326,    8113,     265,   -6683,   -4490,    2928,     735,  100.0,    8.4,   37.3,    0.5,   68.9,   36.1,   11.7,    4.2,    5.0,    0.4,    2.9,    7.3,    0.2,   97.1,   98.4,    2.9,    1.6,    198,     13,     16,      4,     72,     52,     40,     14,     15,      6,      8,      8,      4,    140,    112,    35.4,    27.7,    47.1,    45.9,    33.3,    27.1,    44.4,    43.0,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220726,2022-07-26,244041,ICUS,01,244 ,  409332,   39490,  155342,    1942,  275091,  160102,   45227,   23594,   17273,    1999,   12903,   21413,     392,  400638,  403690,    8694,    5642,   -8395,    5983,   -6570,      91,  -19557,    6613,    2187,    3105,   -3293,    1010,    -710,   -8305,       0,   -7891,   -8267,    -504,    -128,  100.0,    9.6,   38.0,    0.5,   67.2,   39.1,   11.0,    5.8,    4.2,    0.5,    3.2,    5.2,    0.1,   97.9,   98.6,    2.1,    1.4,    197,     13,     14,      6,     70,     53,     40,     17,     14,      7,      9,      7,.,    142,    110,    32.5,    29.7,    45.8,    47.6,    30.5,    29.0,    43.3,    44.8,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220719,2022-07-19,244041,ICUS,01,244 ,  417727,   33507,  161912,    1851,  294648,  153489,   43040,   20489,   20566,     989,   13613,   29718,     392,  408529,  411957,    9198,    5770,  -11152,    -147,  -10364,     -12,  -10813,    1543,     -83,     740,   -1366,     214,     -69,     429,      36,  -10134,   -9603,   -1018,   -1549,  100.0,    8.0,   38.8,    0.4,   70.5,   36.7,   10.3,    4.9,    4.9,    0.2,    3.3,    7.1,    0.1,   97.8,   98.6,    2.2,    1.4,    198,     10,     16,      5,     72,     52,     40,     15,     17,      6,      9,      7,.,    138,    113,    34.3,    30.4,    46.9,    48.2,    32.6,    30.4,    44.7,    45.4,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220712,2022-07-12,244041,ICUS,01,244 ,  428879,   33654,  172276,    1863,  305461,  151946,   43123,   19749,   21932,     775,   13682,   29289,     356,  418663,  421560,   10216,    7319,    4927,     651,   24945,     801,    8525,   -5644,   -2861,    3621,  -13776,      90,    -159,    1753,      -3,   10665,    5305,   -5738,    -378,  100.0,    7.8,   40.2,    0.4,   71.2,   35.4,   10.1,    4.6,    5.1,    0.2,    3.2,    6.8,    0.1,   97.6,   98.3,    2.4,    1.7,    202,     12,     16,      5,     76,     50,     40,     16,     16,      5,      9,      7,.,    142,    112,    35.0,    31.3,    47.4,    47.2,    33.3,    31.3,    45.1,    45.2,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220705,2022-07-05,244041,ICUS,01,244 ,  423952,   33003,  147331,    1062,  296936,  157590,   45984,   16128,   35708,     685,   13841,   27536,     359,  407998,  416255,   15954,    7697,   33243,    -791,   -3701,       3,   29087,    1046,   -5580,     755,   19813,    -706,    2248,   19902,     -10,   25006,   30767,    8237,    2476,  100.0,    7.8,   34.8,    0.3,   70.0,   37.2,   10.8,    3.8,    8.4,    0.2,    3.3,    6.5,    0.1,   96.2,   98.2,    3.8,    1.8,    201,     10,     15,      4,     72,     56,     41,     13,     19,      6,      9,      7,.,    137,    118,    34.0,    29.8,    47.5,    45.1,    32.2,    29.8,    45.0,    42.8,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220628,2022-06-28,244041,ICUS,01,244 ,  390709,   33794,  151032,    1059,  267849,  156544,   51564,   15373,   15895,    1391,   11593,    7634,     369,  382992,  385488,    7717,    5221,    4255,    3301,    3943,    -936,    4565,    -548,     197,   -1799,   -2490,     108,   -2453,    3325,      93,    3076,    3692,    1179,     563,  100.0,    8.6,   38.7,    0.3,   68.6,   40.1,   13.2,    3.9,    4.1,    0.4,    3.0,    2.0,    0.1,   98.0,   98.7,    2.0,    1.3,    192,     12,     14,.,     65,     56,     42,     14,     16,      7,      7,      8,.,    130,    116,    35.3,    32.1,    48.3,    46.3,    32.9,    31.4,    45.5,    43.5,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220621,2022-06-21,244041,ICUS,01,244 ,  386454,   30493,  147089,    1995,  263284,  157092,   51367,   17172,   18385,    1283,   14046,    4309,     276,  379916,  381796,    6538,    4658,  -65475,     -11,     408,  -47135,   -2709,    8113,   -1730,     526,   -1385,   -2213,   -2141,   -9417,     273,  -55140,  -53086,  -10335,  -12389,  100.0,    7.9,   38.1,    0.5,   68.1,   40.6,   13.3,    4.4,    4.8,    0.3,    3.6,    1.1,    0.1,   98.3,   98.8,    1.7,    1.2,    190,     10,     14,      4,     67,     56,     41,     13,     15,      6,      8,      7,.,    128,    116,    35.2,    32.9,    47.5,    47.7,    32.8,    31.7,    45.0,    45.3,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220614,2022-06-14,244041,ICUS,01,244 ,  451929,   30504,  146681,   49130,  265993,  148979,   53097,   16646,   19770,    3496,   16187,   13726,       3,  435056,  434882,   16873,   17047,   48702,     933,  -11319,   46092,   -8907,    3239,    -878,    -158,    1483,    2004,    2159,   -2790,     -64,   41181,   37767,    7521,   10935,  100.0,    6.7,   32.5,   10.9,   58.9,   33.0,   11.7,    3.7,    4.4,    0.8,    3.6,    3.0,    0.0,   96.3,   96.2,    3.7,    3.8,    202,     11,     15,     17,     68,     56,     43,     15,     21,     13,      7,      7,.,    144,    132,    33.1,    28.7,    46.9,    44.2,    27.5,    21.6,    38.2,    34.0,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220607,2022-06-07,244041,ICUS,01,244 ,  403227,   29571,  158000,    3038,  274900,  145740,   53975,   16804,   18287,    1492,   14028,   16516,      67,  393875,  397115,    9352,    6112,   -5182,    -384,   -3359,     267,   -8660,    2113,   -1266,    4351,   -4269,    -194,     152,    -281,       4,   -5730,   -6985,     548,    1803,  100.0,    7.3,   39.2,    0.8,   68.2,   36.1,   13.4,    4.2,    4.5,    0.4,    3.5,    4.1,    0.0,   97.7,   98.5,    2.3,    1.5,    200,     12,     14,     11,     71,     53,     42,     17,     19,      7,      6,      8,.,    144,    118,    32.8,    26.4,    46.2,    42.6,    30.2,    26.0,    42.5,    40.3,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220531,2022-05-31,244041,ICUS,01,244 ,  408409,   29955,  161359,    2771,  283560,  143627,   55241,   12453,   22556,    1686,   13876,   16797,      63,  399605,  404100,    8804,    4309,   -7342,   -1713,   -6453,    -181,   -6789,   -3531,     809,    1384,    2309,     118,    -624,     897,      44,   -6952,   -5988,    -390,   -1354,  100.0,    7.3,   39.5,    0.7,   69.4,   35.2,   13.5,    3.0,    5.5,    0.4,    3.4,    4.1,    0.0,   97.8,   98.9,    2.2,    1.1,    200,     12,     14,      8,     75,     50,     41,     17,     18,      7,      6,      8,.,    140,    117,    33.5,    25.9,    46.9,    42.2,    30.8,    25.6,    42.8,    40.1,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220524,2022-05-24,244041,ICUS,01,244 ,  415751,   31668,  167812,    2952,  290349,  147158,   54432,   11069,   20247,    1568,   14500,   15900,      19,  406557,  410088,    9194,    5663,    3823,     907,   -2274,    -340,    5964,    6014,    -412,   -2175,    2129,     235,    -433,     207,       0,    3746,    5559,      77,   -1736,  100.0,    7.6,   40.4,    0.7,   69.8,   35.4,   13.1,    2.7,    4.9,    0.4,    3.5,    3.8,    0.0,   97.8,   98.6,    2.2,    1.4,    204,     11,     15,      7,     77,     51,     42,     15,     20,      8,      7,      8,.,    140,    122,    33.8,    25.8,    47.5,    42.0,    31.2,    25.6,    43.6,    40.0,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220517,2022-05-17,244041,ICUS,01,244 ,  411928,   30761,  170086,    3292,  284385,  141144,   54844,   13244,   18118,    1333,   14933,   15693,      19,  402811,  404529,    9117,    7399,   -6519,    -109,  -15009,    -134,    1087,    7089,     399,   -7095,   -1587,    -493,    -771,    2074,      -7,   -7123,   -7668,     604,    1149,  100.0,    7.5,   41.3,    0.8,   69.0,   34.3,   13.3,    3.2,    4.4,    0.3,    3.6,    3.8,    0.0,   97.8,   98.2,    2.2,    1.8,    204,     13,     15,      7,     76,     52,     43,     16,     17,      7,      7,      8,.,    143,    119,    32.7,    26.5,    46.4,    42.7,    30.0,    26.2,    42.3,    40.9,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220510,2022-05-10,244041,ICUS,01,244 ,  418447,   30870,  185095,    3426,  283298,  134055,   54445,   20339,   19705,    1826,   15704,   13619,      26,  409934,  412197,    8513,    6250,    7418,    -491,   -8747,     128,    5857,   21808,     -81,    2620,    -673,    -176,     964,   -4188,       1,    8822,    8072,   -1404,    -654,  100.0,    7.4,   44.2,    0.8,   67.7,   32.0,   13.0,    4.9,    4.7,    0.4,    3.8,    3.3,    0.0,   98.0,   98.5,    2.0,    1.5,    203,     12,     13,      7,     75,     54,     43,     16,     18,      7,      8,      7,.,    144,    118,    32.4,    28.1,    46.3,    44.3,    29.7,    27.9,    41.5,    43.6,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220503,2022-05-03,244041,ICUS,01,244 ,  411029,   31361,  193842,    3298,  277441,  112247,   54526,   17719,   20378,    2002,   14740,   17807,      25,  401112,  404125,    9917,    6904,  -13278,     688,    2957,     599,  -11828,    2611,   -2545,    2388,   -6726,    -171,    -534,   -4069,      -5,  -11408,   -7349,   -1870,   -5929,  100.0,    7.6,   47.2,    0.8,   67.5,   27.3,   13.3,    4.3,    5.0,    0.5,    3.6,    4.3,    0.0,   97.6,   98.3,    2.4,    1.7,    204,     13,     13,      6,     77,     50,     43,     17,     20,      8,      6,      8,.,    145,    117,    31.4,    28.1,    45.3,    45.8,    28.6,    27.8,    41.3,    45.2,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220426,2022-04-26,244041,ICUS,01,244 ,  424307,   30673,  190885,    2699,  289269,  109636,   57071,   15331,   27104,    2173,   15274,   21876,      30,  412520,  411474,   11787,   12833,   -2557,     -55,  -16805,     201,   -5704,    8637,    1191,     494,    2331,     276,    1635,   -2969,      12,   -1950,   -7126,    -607,    4569,  100.0,    7.2,   45.0,    0.6,   68.2,   25.8,   13.5,    3.6,    6.4,    0.5,    3.6,    5.2,    0.0,   97.2,   97.0,    2.8,    3.0,    203,     13,     14,      6,     72,     52,     39,     15,     22,      7,      7,      8,.,    136,    121,    30.5,    26.6,    46.5,    42.7,    27.9,    26.2,    41.7,    42.1,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220419,2022-04-19,244041,ICUS,01,244 ,  426864,   30728,  207690,    2498,  294973,  100999,   55880,   14837,   24773,    1897,   13639,   24845,      18,  414470,  418600,   12394,    8264,     454,    -886,   -8643,      79,   -5170,    -272,    3721,    1679,    1721,     599,    -256,    2660,      -4,    -238,    -139,     692,     593,  100.0,    7.2,   48.7,    0.6,   69.1,   23.7,   13.1,    3.5,    5.8,    0.4,    3.2,    5.8,    0.0,   97.1,   98.1,    2.9,    1.9,    199,     13,     13,      6,     73,     49,     37,     17,     19,      6,      7,      8,.,    135,    114,    29.6,    29.4,    43.7,    46.4,    27.3,    29.0,    41.0,    45.8,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220412,2022-04-12,244041,ICUS,01,244 ,  426410,   31614,  216333,    2419,  300143,  101271,   52159,   13158,   23052,    1298,   13895,   22185,      22,  414708,  418739,   11702,    7671,   21644,     521,   29047,     258,   14259,    3497,    1306,    2432,   -7084,     115,    1922,   -5860,      -1,   20812,   21278,     832,     366,  100.0,    7.4,   50.7,    0.6,   70.4,   23.7,   12.2,    3.1,    5.4,    0.3,    3.3,    5.2,    0.0,   97.3,   98.2,    2.7,    1.8,    197,     14,     13,      6,     74,     48,     39,     14,     18,      6,      8,      8,.,    136,    114,    29.8,    31.5,    45.0,    48.2,    27.6,    31.1,    42.7,    47.7,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220405,2022-04-05,244041,ICUS,01,244 ,  404766,   31093,  187286,    2161,  285884,   97774,   50853,   10726,   30136,    1183,   11973,   28045,      23,  393896,  397461,   10870,    7305,    7008,    7712,   18555,   -8629,    -328,  -16036,    4129,     842,    1724,      79,     489,    5298,       5,    4299,    5125,    2709,    1883,  100.0,    7.7,   46.3,    0.5,   70.6,   24.2,   12.6,    2.6,    7.4,    0.3,    3.0,    6.9,    0.0,   97.3,   98.2,    2.7,    1.8,    196,     15,     13,      5,     72,     51,     39,     12,     19,      6,      6,      8,.,    134,    114,    30.9,    26.6,    46.2,    42.8,    28.9,    26.4,    42.3,    42.3,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220329,2022-03-29,244041,ICUS,01,244 ,  397758,   23381,  168731,   10790,  286212,  113810,   46724,    9884,   28412,    1104,   11484,   22747,      18,  389597,  392336,    8161,    5422,   10567,  -10006,   12315,    8764,    9669,  -12930,    1400,     829,    1534,       7,      -4,    4457,      12,   10671,   15559,    -104,   -4992,  100.0,    5.9,   42.4,    2.7,   72.0,   28.6,   11.7,    2.5,    7.1,    0.3,    2.9,    5.7,    0.0,   97.9,   98.6,    2.1,    1.4,    199,     14,     14,      7,     75,     50,     39,     14,     17,      6,      7,      8,.,    137,    115,    30.5,    26.7,    45.6,    41.7,    28.6,    26.5,    41.8,    41.3,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220322,2022-03-22,244041,ICUS,01,244 ,  387191,   33387,  156416,    2026,  276543,  126740,   45324,    9055,   26878,    1097,   11488,   18290,       6,  378926,  376777,    8265,   10414,  -93740,   -1478,   -8656,  -42089,     986,   -7813,   -9699,    -855,    1353,   -1761,    1596,    4807,   -8760,  -62060,  -72618,  -31680,  -21122,  100.0,    8.6,   40.4,    0.5,   71.4,   32.7,   11.7,    2.3,    6.9,    0.3,    3.0,    4.7,    0.0,   97.9,   97.3,    2.1,    2.7,    197,     14,     12,      6,     71,     54,     40,     14,     17,      6,      7,      8,.,    136,    114,    29.1,    29.2,    44.0,    42.6,    27.3,    28.8,    41.1,    41.8,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220315,2022-03-15,244041,ICUS,01,244 ,  480931,   34865,  165072,   44115,  275557,  134553,   55023,    9910,   25525,    2858,    9892,   13483,    8766,  440986,  449395,   39945,   31536,   88863,     558,    5572,   40583,    7863,   -3690,   13747,   -5309,    5452,    1559,   -6116,   -5859,    6452,   59337,   63816,   29526,   25047,  100.0,    7.2,   34.3,    9.2,   57.3,   28.0,   11.4,    2.1,    5.3,    0.6,    2.1,    2.8,    1.8,   91.7,   93.4,    8.3,    6.6,    192,     11,     16,     15,     68,     50,     40,     14,     17,     12,      7,      8,.,    140,    122,    25.3,    33.5,    38.3,    46.2,    23.7,    31.6,    33.6,    40.7,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220308,2022-03-08,244041,ICUS,01,244 ,  392068,   34307,  159500,    3532,  267694,  138243,   41276,   15219,   20073,    1299,   16008,   19342,    2314,  381649,  385579,   10419,    6489,    2664,    1066,  -21477,     181,     169,   22321,      63,   -3040,    -416,     201,    4256,    -184,    1159,    4055,    1848,   -1391,     816,  100.0,    8.8,   40.7,    0.9,   68.3,   35.3,   10.5,    3.9,    5.1,    0.3,    4.1,    4.9,    0.6,   97.3,   98.3,    2.7,    1.7,    190,     11,     15,      7,     70,     48,     36,     16,     15,     10,      8,      7,.,    133,    113,    31.0,    39.3,    43.6,    52.5,    27.8,    38.9,    40.2,    51.4,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220301,2022-03-01,244041,ICUS,01,244 ,  389404,   33241,  180977,    3351,  267525,  115922,   41213,   18259,   20489,    1098,   11752,   19526,    1155,  377594,  383731,   11810,    5673,      64,   -6962,   -6264,     619,    3705,    8471,   -1698,    2586,    3133,    -285,      22,   -3393,       0,   -2013,     583,    2077,    -519,  100.0,    8.5,   46.5,    0.9,   68.7,   29.8,   10.6,    4.7,    5.3,    0.3,    3.0,    5.0,    0.3,   97.0,   98.5,    3.0,    1.5,    199,     15,     13,      8,     71,     51,     38,     21,     13,      7,      7,      8,.,    140,    114,    30.4,    38.3,    44.3,    51.9,    26.7,    37.9,    39.2,    51.0,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220222,2022-02-22,244041,ICUS,01,244 ,  389340,   40203,  187241,    2732,  263820,  107451,   42911,   15673,   17356,    1383,   11730,   22919,    1155,  379607,  383148,    9733,    6192,   12592,      31,   10742,     465,   10109,    6182,   -1181,    2943,   -1420,     158,     533,   -2138,     -49,   13009,   12759,    -417,    -167,  100.0,   10.3,   48.1,    0.7,   67.8,   27.6,   11.0,    4.0,    4.5,    0.4,    3.0,    5.9,    0.3,   97.5,   98.4,    2.5,    1.6,    199,     15,     12,      5,     75,     48,     35,     20,     13,      7,      8,      8,.,    139,    110,    30.2,    38.6,    43.4,    53.1,    26.3,    38.3,    38.4,    52.5,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220215,2022-02-15,244041,ICUS,01,244 ,  376748,   40172,  176499,    2267,  253711,  101269,   44092,   12730,   18776,    1225,   11197,   25057,    1204,  366598,  370389,   10150,    6359,   -1819,   -1059,      -4,      -5,   -2704,   -9803,    4168,   -2568,    1847,    -611,    -315,    2510,     -30,   -3124,   -1928,    1305,     109,  100.0,   10.7,   46.8,    0.6,   67.3,   26.9,   11.7,    3.4,    5.0,    0.3,    3.0,    6.7,    0.3,   97.3,   98.3,    2.7,    1.7,    191,     14,     12,      5,     72,     47,     36,     15,     14,      7,      9,      8,.,    130,    111,    31.0,    37.0,    44.4,    51.9,    26.4,    36.6,    38.9,    51.1,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE  - ICE FUTURES U.S.",220208,2022-02-08,244041,ICUS,01,244 ,  378567,   41231,  176503,    2272,  256415,  111072,   39924,   15298,   16929,    1836,   11512,   22547,    1234,  369722,  372317,    8845,    6250,    8492,    4222,     499,    -160,    2667,    7742,    -661,    2281,    1315,     364,     754,   -2011,      22,    9489,    7110,    -997,    1382,  100.0,   10.9,   46.6,    0.6,   67.7,   29.3,   10.5,    4.0,    4.5,    0.5,    3.0,    6.0,    0.3,   97.7,   98.3,    2.3,    1.7,    191,     13,     11,      5,     74,     47,     37,     17,     12,      8,      9,      8,.,    134,    109,    31.0,    38.0,    44.8,    52.4,    26.7,    37.7,    39.3,    51.7,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE MINI INDEX - ICE FUTURES U.S.",220201,2022-02-01,244041,ICUS,01,244 ,  370075,   37009,  176004,    2432,  253748,  103330,   40585,   13017,   15614,    1472,   10758,   24558,    1212,  360233,  365207,    9842,    4868,  -16296,    -144,  -18108,   -1518,    6821,   -3364,   -4172,  -16872,    3953,      28,   -1121,    5867,     552,  -16426,  -16762,     130,     466,  100.0,   10.0,   47.6,    0.7,   68.6,   27.9,   11.0,    3.5,    4.2,    0.4,    2.9,    6.6,    0.3,   97.3,   98.7,    2.7,    1.3,    191,     13,     11,      5,     73,     47,     37,     18,     13,      6,      8,      8,.,    136,    106,    30.8,    39.0,    44.0,    53.7,    26.5,    38.7,    38.5,    53.1,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE MINI INDEX - ICE FUTURES U.S.",220125,2022-01-25,244041,ICUS,01,244 ,  386371,   37153,  194112,    3950,  246927,  106694,   44757,   29889,   11661,    1444,   11879,   18691,     660,  376659,  381969,    9712,    4402,    9277,    6352,  -11521,     352,   -8864,   18081,    1372,    9182,    3175,     902,     796,   -2104,     -51,   10041,   10206,    -764,    -929,  100.0,    9.6,   50.2,    1.0,   63.9,   27.6,   11.6,    7.7,    3.0,    0.4,    3.1,    4.8,    0.2,   97.5,   98.9,    2.5,    1.1,    191,     11,     13,      7,     72,     48,     38,     19,     12,      4,      9,      7,.,    136,    107,    29.5,    37.4,    41.4,    52.4,    25.6,    37.0,    36.4,    51.8,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE MINI INDEX - ICE FUTURES U.S.",220118,2022-01-18,244041,ICUS,01,244 ,  377094,   30801,  205633,    3598,  255791,   88613,   43385,   20707,    8486,     542,   11083,   20795,     711,  366618,  371763,   10476,    5331,   -9101,    -403,   -1597,     160,   -6535,   -9087,    -676,   -2863,     158,      -3,     888,    1464,     -29,   -9461,   -9610,     360,     509,  100.0,    8.2,   54.5,    1.0,   67.8,   23.5,   11.5,    5.5,    2.3,    0.1,    2.9,    5.5,    0.2,   97.2,   98.6,    2.8,    1.4,    193,     10,     14,      8,     75,     46,     40,     20,     12,      4,      9,      7,.,    139,    109,    30.9,    37.1,    42.7,    53.3,    27.0,    36.8,    37.8,    52.7,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE MINI INDEX - ICE FUTURES U.S.",220111,2022-01-11,244041,ICUS,01,244 ,  386195,   31204,  207230,    3438,  262326,   97700,   44061,   23570,    8328,     545,   10195,   19331,     740,  376079,  381373,   10116,    4822,     496,    -850,  -13150,    -932,    1895,   11698,    2793,   -2720,    2527,      14,     676,    -360,    -197,     679,    2393,    -183,   -1897,  100.0,    8.1,   53.7,    0.9,   67.9,   25.3,   11.4,    6.1,    2.2,    0.1,    2.6,    5.0,    0.2,   97.4,   98.8,    2.6,    1.2,    190,     12,     12,      8,     75,     46,     39,     21,     10,      4,      8,      6,.,    140,    103,    29.4,    36.4,    42.2,    54.2,    25.4,    34.8,    37.1,    52.2,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
"MSCI EAFE MINI INDEX - ICE FUTURES U.S.",220104,2022-01-04,244041,ICUS,01,244 ,  385699,   32054,  220380,    4370,  260431,   86002,   41268,   26290,    5801,     531,    9519,   19691,     937,  375400,  378980,   10299,    6719,    -405,    -234,    4768,    -678,  -11509,    8543,    -482,    8006,  -13411,     422,    4450,    -319,     651,     626,    -506,   -1031,     101,  100.0,    8.3,   57.1,    1.1,   67.5,   22.3,   10.7,    6.8,    1.5,    0.1,    2.5,    5.1,    0.2,   97.3,   98.3,    2.7,    1.7,    186,     12,     12,      9,     74,     45,     38,     22,      8,.,      7,      6,.,    141,     98,    31.0,    38.3,    43.6,    56.1,    27.0,    37.6,    38.5,    54.0,"(MSCI EAFE INDEX X $50)","244041","ICUS","244 ","F20","FutOnly"
