"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230523,2023-05-23,13874F,CME ,00,138 ,   18164,   14044,   10679,       0,    1618,    5033,       0,    1046,    1302,       0,       0,       0,       0,   16708,   17014,    1456,    1150,     -14,      98,     270,       0,     210,     -51,    -213,      61,     116,       0,       0,       0,       0,     156,     122,    -170,    -136,  100.0,   77.3,   58.8,    0.0,    8.9,   27.7,    0.0,    5.8,    7.2,    0.0,    0.0,    0.0,    0.0,   92.0,   93.7,    8.0,    6.3,     25,      8,      4,      0,.,      4,      0,.,      4,      0,      0,      0,      0,     13,     12,    74.5,    71.3,    84.9,    87.5,    74.5,    71.3,    84.9,    87.5,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230516,2023-05-16,13874F,CME ,00,138 ,   18178,   13946,   10409,       0,    1408,    5084,     213,     985,    1186,       0,       0,       0,       0,   16552,   16892,    1626,    1286,       1,     459,     108,       0,       0,    -290,     -23,    -313,     224,       0,       0,       0,       0,     123,      19,    -122,     -18,  100.0,   76.7,   57.3,    0.0,    7.7,   28.0,    1.2,    5.4,    6.5,    0.0,    0.0,    0.0,    0.0,   91.1,   92.9,    8.9,    7.1,     26,      8,      4,      0,.,      5,.,      4,      4,      0,      0,      0,      0,     14,     13,    74.4,    70.1,    83.4,    86.2,    74.4,    70.1,    83.4,    86.2,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230509,2023-05-09,13874F,CME ,00,138 ,   18177,   13487,   10301,       0,    1408,    5374,     236,    1298,     962,       0,       0,       0,       0,   16429,   16873,    1748,    1304,      11,      -2,     100,       0,     -31,      28,     -28,       0,      20,       0,       0,       0,       0,     -61,     120,      72,    -109,  100.0,   74.2,   56.7,    0.0,    7.7,   29.6,    1.3,    7.1,    5.3,    0.0,    0.0,    0.0,    0.0,   90.4,   92.8,    9.6,    7.2,     23,      6,      5,      0,.,      5,.,.,.,      0,      0,      0,      0,     11,     13,    75.8,    69.6,    86.1,    85.7,    75.8,    69.6,    86.1,    85.7,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230502,2023-05-02,13874F,CME ,00,138 ,   18166,   13489,   10201,       0,    1439,    5346,     264,    1298,     942,       0,       0,       0,       0,   16490,   16753,    1676,    1413,      15,     -17,      -4,       0,       2,     -98,      -2,     456,     442,       0,       0,       0,       0,     439,     338,    -424,    -323,  100.0,   74.3,   56.2,    0.0,    7.9,   29.4,    1.5,    7.1,    5.2,    0.0,    0.0,    0.0,    0.0,   90.8,   92.2,    9.2,    7.8,     23,      6,      5,      0,.,      4,.,.,.,      0,      0,      0,      0,     11,     13,    76.0,    69.1,    86.3,    85.2,    76.0,    69.1,    86.3,    85.2,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230425,2023-04-25,13874F,CME ,00,138 ,   18151,   13506,   10205,       0,    1437,    5444,     266,     842,     500,       0,       0,       0,       0,   16051,   16415,    2100,    1736,     702,    -125,     505,       0,     238,     159,       0,     585,    -224,       0,       0,       0,       0,     698,     440,       4,     262,  100.0,   74.4,   56.2,    0.0,    7.9,   30.0,    1.5,    4.6,    2.8,    0.0,    0.0,    0.0,    0.0,   88.4,   90.4,   11.6,    9.6,     20,      7,      4,      0,.,      5,.,.,.,      0,      0,      0,      0,     11,     10,    75.4,    70.8,    84.2,    87.2,    75.4,    70.8,    84.2,    86.9,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230418,2023-04-18,13874F,CME ,00,138 ,   17449,   13631,    9700,       0,    1199,    5285,     266,     257,     724,       0,       0,       0,       0,   15353,   15975,    2096,    1474,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   78.1,   55.6,    0.0,    6.9,   30.3,    1.5,    1.5,    4.1,    0.0,    0.0,    0.0,    0.0,   88.0,   91.6,   12.0,    8.4,     20,      7,      4,      0,.,      5,.,.,.,      0,      0,      0,      0,     10,     11,    77.0,    69.9,    85.2,    86.9,    77.0,    69.9,    85.1,    86.6,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230404,2023-04-04,13874F,CME ,00,138 ,   16302,   12524,    9902,       0,    1199,    4236,     266,     495,     723,       0,       0,       0,       0,   14484,   15127,    1818,    1175,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   76.8,   60.7,    0.0,    7.4,   26.0,    1.6,    3.0,    4.4,    0.0,    0.0,    0.0,    0.0,   88.8,   92.8,   11.2,    7.2,     20,      7,      5,      0,.,      4,.,.,.,      0,      0,      0,      0,     10,     11,    75.6,    73.0,    85.8,    88.3,    75.6,    73.0,    85.7,    88.3,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230314,2023-03-14,13874F,CME ,00,138 ,   29952,    7235,   10074,    7618,    7004,    3642,       0,    1611,     869,       0,       0,       0,       0,   23468,   22203,    6484,    7749,   12243,    -352,   -1307,    7618,    -502,       0,       0,     705,    -125,       0,       0,       0,       0,    7469,    6186,    4774,    6057,  100.0,   24.2,   33.6,   25.4,   23.4,   12.2,    0.0,    5.4,    2.9,    0.0,    0.0,    0.0,    0.0,   78.4,   74.1,   21.6,   25.9,     25,      7,      7,      4,      4,.,      0,.,.,      0,      0,      0,      0,     17,     12,    51.8,    56.9,    69.2,    68.8,    40.3,    34.5,    48.5,    45.4,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230307,2023-03-07,13874F,CME ,00,138 ,   17709,    7587,   11381,       0,    7506,    3642,       0,     906,     994,       0,       0,       0,       0,   15999,   16017,    1710,    1692,   -5133,      55,   -5052,       0,   -5679,       0,       0,     285,     -27,       0,       0,       0,       0,   -5339,   -5079,     206,     -54,  100.0,   42.8,   64.3,    0.0,   42.4,   20.6,    0.0,    5.1,    5.6,    0.0,    0.0,    0.0,    0.0,   90.3,   90.4,    9.7,    9.6,     23,      7,      5,      0,      4,.,      0,.,.,      0,      0,      0,      0,     12,     11,    71.6,    67.8,    84.1,    85.1,    71.6,    67.8,    84.1,    85.1,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230228,2023-02-28,13874F,CME ,00,138 ,   22842,    7532,   16433,       0,   13185,    3642,       0,     621,    1021,       0,       0,       0,       0,   21338,   21096,    1504,    1746,     603,     438,     325,       0,     399,      29,       0,      52,      86,       0,       0,       0,       0,     889,     440,    -286,     163,  100.0,   33.0,   71.9,    0.0,   57.7,   15.9,    0.0,    2.7,    4.5,    0.0,    0.0,    0.0,    0.0,   93.4,   92.4,    6.6,    7.6,     23,      7,      5,      0,      4,.,      0,.,.,      0,      0,      0,      0,     12,     11,    80.1,    74.7,    88.3,    88.1,    80.1,    74.7,    88.3,    88.1,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230221,2023-02-21,13874F,CME ,00,138 ,   22239,    7094,   16108,       0,   12786,    3613,       0,     569,     935,       0,       0,       0,       0,   20449,   20656,    1790,    1583,    -113,     201,    -496,       0,     -65,     375,       0,       0,     204,       0,       0,       0,       0,     136,      83,    -249,    -196,  100.0,   31.9,   72.4,    0.0,   57.5,   16.2,    0.0,    2.6,    4.2,    0.0,    0.0,    0.0,    0.0,   92.0,   92.9,    8.0,    7.1,     23,      7,      5,      0,.,      4,      0,.,.,      0,      0,      0,      0,     11,     12,    80.0,    74.8,    88.3,    88.1,    80.0,    74.8,    88.3,    88.1,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230214,2023-02-14,13874F,CME ,00,138 ,   22352,    6893,   16604,       0,   12851,    3238,       0,     569,     731,       0,       0,       0,       0,   20313,   20573,    2039,    1779,      25,       2,     100,       0,    -154,     -95,       0,    -204,    -204,       0,       0,       0,       0,    -356,    -199,     381,     224,  100.0,   30.8,   74.3,    0.0,   57.5,   14.5,    0.0,    2.5,    3.3,    0.0,    0.0,    0.0,    0.0,   90.9,   92.0,    9.1,    8.0,     22,      6,      5,      0,.,      5,      0,.,.,      0,      0,      0,      0,     10,     12,    79.7,    76.9,    88.0,    87.5,    79.7,    76.9,    88.0,    87.5,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230207,2023-02-07,13874F,CME ,00,138 ,   22327,    6891,   16504,       0,   13005,    3333,       0,     773,     935,       0,       0,       0,       0,   20669,   20772,    1658,    1555,   -1755,     800,     314,       0,   -1064,   -2146,       0,    -269,     -86,       0,       0,       0,       0,    -533,   -1918,   -1222,     163,  100.0,   30.9,   73.9,    0.0,   58.2,   14.9,    0.0,    3.5,    4.2,    0.0,    0.0,    0.0,    0.0,   92.6,   93.0,    7.4,    7.0,     24,      6,      5,      0,.,      5,      0,.,.,      0,      0,      0,      0,     11,     13,    79.8,    76.5,    88.8,    87.5,    79.8,    76.5,    88.8,    87.5,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230131,2023-01-31,13874F,CME ,00,138 ,   24082,    6091,   16190,       0,   14069,    5479,       0,    1042,    1021,       0,       0,       0,       0,   21202,   22690,    2880,    1392,    1340,      -6,    2415,       0,      77,   -1005,       0,     204,     201,       0,       0,       0,       0,     275,    1611,    1065,    -271,  100.0,   25.3,   67.2,    0.0,   58.4,   22.8,    0.0,    4.3,    4.2,    0.0,    0.0,    0.0,    0.0,   88.0,   94.2,   12.0,    5.8,     24,      4,      6,      0,.,      6,      0,.,.,      0,      0,      0,      0,      9,     15,    78.4,    69.5,    87.2,    84.2,    78.4,    69.5,    87.2,    84.2,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230124,2023-01-24,13874F,CME ,00,138 ,   22742,    6097,   13775,       0,   13992,    6484,       0,     838,     820,       0,       0,       0,       0,   20927,   21079,    1815,    1663,    1381,    1270,    1630,       0,     -94,    -124,       0,    -158,    -342,       0,       0,       0,       0,    1018,    1164,     363,     217,  100.0,   26.8,   60.6,    0.0,   61.5,   28.5,    0.0,    3.7,    3.6,    0.0,    0.0,    0.0,    0.0,   92.0,   92.7,    8.0,    7.3,     21,      4,      5,      0,.,      6,      0,.,.,      0,      0,      0,      0,      8,     13,    82.7,    72.2,    92.0,    84.5,    82.7,    72.2,    92.0,    84.5,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230117,2023-01-17,13874F,CME ,00,138 ,   21361,    4827,   12145,       0,   14086,    6608,       0,     996,    1162,       0,       0,       0,       0,   19909,   19915,    1452,    1446,    2117,    2003,    2450,       0,       0,     -38,       0,       0,     -57,       0,       0,       0,       0,    2003,    2355,     114,    -238,  100.0,   22.6,   56.9,    0.0,   65.9,   30.9,    0.0,    4.7,    5.4,    0.0,    0.0,    0.0,    0.0,   93.2,   93.2,    6.8,    6.8,     23,      5,      5,      0,.,      6,      0,.,.,      0,      0,      0,      0,      9,     14,    81.0,    69.8,    92.1,    83.0,    81.0,    69.8,    92.1,    83.0,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230110,2023-01-10,13874F,CME ,00,138 ,   19244,    2824,    9695,       0,   14086,    6646,       0,     996,    1219,       0,       0,       0,       0,   17906,   17560,    1338,    1684,    5925,       4,    5732,       0,    5828,    -145,       0,      -2,     -76,       0,       0,       0,       0,    5830,    5511,      95,     414,  100.0,   14.7,   50.4,    0.0,   73.2,   34.5,    0.0,    5.2,    6.3,    0.0,    0.0,    0.0,    0.0,   93.0,   91.2,    7.0,    8.8,     22,      4,      5,      0,.,      6,      0,.,.,      0,      0,      0,      0,      8,     14,    84.6,    69.7,    93.0,    81.0,    84.6,    69.7,    93.0,    81.0,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE",230103,2023-01-03,13874F,CME ,00,138 ,   13319,    2820,    3963,       0,    8258,    6791,       0,     998,    1295,       0,       0,       0,       0,   12076,   12049,    1243,    1270,      13,       0,       0,       0,       0,       0,       0,       0,      20,       0,       0,       0,       0,       0,      20,      13,      -7,  100.0,   21.2,   29.8,    0.0,   62.0,   51.0,    0.0,    7.5,    9.7,    0.0,    0.0,    0.0,    0.0,   90.7,   90.5,    9.3,    9.5,     23,      4,      5,      0,.,      7,      0,.,.,      0,      0,      0,      0,      8,     15,    78.5,    57.6,    90.7,    73.3,    78.5,    57.6,    90.7,    73.3,"($100 x S&P Select Sector Industrial Index price)","13874F","CME ","138 ","F20","Combined"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",230307,2023-03-07,13874H,CME ,00,138 ,    6268,    1613,    4478,       0,    2598,     642,       0,     822,     342,       0,       0,       0,       0,    5033,    5462,    1235,     806,     119,       0,    1012,       0,     285,       0,       0,    -177,    -837,       0,       0,       0,       0,     108,     175,      11,     -56,  100.0,   25.7,   71.4,    0.0,   41.4,   10.2,    0.0,   13.1,    5.5,    0.0,    0.0,    0.0,    0.0,   80.3,   87.1,   19.7,   12.9,     20,      4,      7,      0,.,.,      0,.,.,      0,      0,      0,      0,     10,     10,    53.5,    58.2,    72.3,    79.2,    53.5,    58.2,    72.3,    79.2,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","Combined"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",230228,2023-02-28,13874H,CME ,00,138 ,    6149,    1613,    3466,       0,    2313,     642,       0,     999,    1179,       0,       0,       0,       0,    4925,    5287,    1224,     862,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   26.2,   56.4,    0.0,   37.6,   10.4,    0.0,   16.2,   19.2,    0.0,    0.0,    0.0,    0.0,   80.1,   86.0,   19.9,   14.0,     20,      4,      7,      0,.,.,      0,.,.,      0,      0,      0,      0,      8,     12,    61.7,    46.8,    80.1,    69.9,    61.7,    46.8,    80.1,    69.9,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230613,2023-06-13,13874I,CME ,00,138 ,   13888,    6739,   10957,     827,    3947,       0,       0,       0,     805,     268,       0,       0,       0,   11781,   12857,    2107,    1031,    1554,     260,      -3,     827,       1,       0,       0,       0,     211,     268,       0,       0,       0,    1356,    1303,     198,     251,  100.0,   48.5,   78.9,    6.0,   28.4,    0.0,    0.0,    0.0,    5.8,    1.9,    0.0,    0.0,    0.0,   84.8,   92.6,   15.2,    7.4,     21,      4,      8,.,      6,      0,      0,      0,.,.,      0,      0,      0,     14,     11,    60.2,    62.2,    76.6,    85.1,    60.2,    61.0,    73.8,    78.9,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230606,2023-06-06,13874I,CME ,00,138 ,   12334,    6479,   10960,       0,    3946,       0,       0,       0,     594,       0,       0,       0,       0,   10425,   11554,    1909,     780,     -20,    1184,      -2,       0,   -1031,       0,       0,       0,      -4,       0,       0,       0,       0,     153,      -6,    -173,     -14,  100.0,   52.5,   88.9,    0.0,   32.0,    0.0,    0.0,    0.0,    4.8,    0.0,    0.0,    0.0,    0.0,   84.5,   93.7,   15.5,    6.3,     20,      4,      8,      0,      6,      0,      0,      0,.,      0,      0,      0,      0,     10,     10,    64.9,    68.7,    80.9,    88.9,    64.9,    68.7,    80.9,    88.9,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230530,2023-05-30,13874I,CME ,00,138 ,   12354,    5295,   10962,       0,    4977,       0,       0,       0,     598,       0,       0,       0,       0,   10272,   11560,    2082,     794,   -1232,    1910,       0,       0,   -3317,       0,       0,       0,      43,       0,       0,       0,       0,   -1407,      43,     175,   -1275,  100.0,   42.9,   88.7,    0.0,   40.3,    0.0,    0.0,    0.0,    4.8,    0.0,    0.0,    0.0,    0.0,   83.1,   93.6,   16.9,    6.4,     21,      4,      8,      0,      7,      0,      0,      0,.,      0,      0,      0,      0,     11,     10,    57.8,    68.6,    76.7,    88.7,    57.8,    68.6,    76.7,    88.7,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230523,2023-05-23,13874I,CME ,00,138 ,   13586,    3385,   10962,       0,    8294,       0,       0,       0,     555,       0,       0,       0,       0,   11679,   11517,    1907,    2069,    -300,       0,   -1276,       0,    -232,       0,       0,       0,      48,       0,       0,       0,       0,    -232,   -1228,     -68,     928,  100.0,   24.9,   80.7,    0.0,   61.0,    0.0,    0.0,    0.0,    4.1,    0.0,    0.0,    0.0,    0.0,   86.0,   84.8,   14.0,   15.2,     20,.,      8,      0,      7,      0,      0,      0,.,      0,      0,      0,      0,     10,     10,    68.9,    62.4,    82.7,    80.7,    68.9,    62.4,    82.7,    80.7,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230516,2023-05-16,13874I,CME ,00,138 ,   13886,    3385,   12238,       0,    8526,       0,       0,       0,     507,       0,       0,       0,       0,   11911,   12745,    1975,    1141,      74,       0,      91,       0,     951,       0,       0,       0,    -229,       0,       0,       0,       0,     951,    -138,    -877,     212,  100.0,   24.4,   88.1,    0.0,   61.4,    0.0,    0.0,    0.0,    3.7,    0.0,    0.0,    0.0,    0.0,   85.8,   91.8,   14.2,    8.2,     22,.,      9,      0,      8,      0,      0,      0,.,      0,      0,      0,      0,     11,     11,    67.4,    58.8,    80.9,    85.0,    67.4,    58.8,    80.9,    85.0,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230509,2023-05-09,13874I,CME ,00,138 ,   13812,    3385,   12147,       0,    7575,       0,       0,       0,     736,       0,       0,       0,       0,   10960,   12883,    2852,     929,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   24.5,   87.9,    0.0,   54.8,    0.0,    0.0,    0.0,    5.3,    0.0,    0.0,    0.0,    0.0,   79.4,   93.3,   20.6,    6.7,     21,.,      9,      0,      6,      0,      0,      0,.,      0,      0,      0,      0,      9,     12,    64.6,    58.2,    77.8,    84.8,    64.6,    58.2,    77.8,    84.8,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230425,2023-04-25,13874I,CME ,00,138 ,   11501,    3612,    9990,       0,    5591,       0,       0,       0,     678,       0,       0,       0,       0,    9203,   10668,    2298,     833,    -491,       0,    -410,       0,    -878,       0,       0,       0,       1,       0,       0,       0,       0,    -878,    -409,     387,     -82,  100.0,   31.4,   86.9,    0.0,   48.6,    0.0,    0.0,    0.0,    5.9,    0.0,    0.0,    0.0,    0.0,   80.0,   92.8,   20.0,    7.2,     20,      4,      8,      0,      6,      0,      0,      0,.,      0,      0,      0,      0,     10,     10,    60.5,    69.4,    76.3,    87.0,    60.5,    69.4,    76.3,    87.0,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230418,2023-04-18,13874I,CME ,00,138 ,   11992,    3612,   10400,       0,    6469,       0,       0,       0,     677,       0,       0,       0,       0,   10081,   11077,    1911,     915,   -1208,       0,   -1003,       0,   -1308,       0,       0,       0,    -243,       0,       0,       0,       0,   -1308,   -1246,     100,      38,  100.0,   30.1,   86.7,    0.0,   53.9,    0.0,    0.0,    0.0,    5.6,    0.0,    0.0,    0.0,    0.0,   84.1,   92.4,   15.9,    7.6,     20,      4,      8,      0,      6,      0,      0,      0,.,      0,      0,      0,      0,     10,     10,    65.0,    70.0,    80.4,    86.8,    65.0,    70.0,    80.4,    86.8,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",230411,2023-04-11,13874I,CME ,00,138 ,   13200,    3612,   11403,       0,    7777,       0,       0,       0,     920,       0,       0,       0,       0,   11389,   12323,    1811,     877,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   27.4,   86.4,    0.0,   58.9,    0.0,    0.0,    0.0,    7.0,    0.0,    0.0,    0.0,    0.0,   86.3,   93.4,   13.7,    6.6,     21,      4,      8,      0,      6,      0,      0,      0,.,      0,      0,      0,      0,     10,     11,    67.3,    71.2,    82.9,    86.5,    67.3,    71.2,    82.9,    86.5,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","Combined"
"E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE",230711,2023-07-11,13874J,CME ,00,138 ,   41197,   14584,    6004,       0,   24093,   15398,     150,     579,   17931,      55,       0,       0,       0,   39461,   39538,    1736,    1659,   14790,    -379,    1086,       0,   16485,     174,   -1279,     -35,   14870,      13,       0,       0,       0,   14805,   14864,     -15,     -74,  100.0,   35.4,   14.6,    0.0,   58.5,   37.4,    0.4,    1.4,   43.5,    0.1,    0.0,    0.0,    0.0,   95.8,   96.0,    4.2,    4.0,     30,      5,      6,      0,      9,.,.,.,      5,.,      0,      0,      0,     16,     16,    77.0,    83.9,    88.8,    90.9,    76.6,    83.9,    88.5,    90.9,"($100 x S&P Select Sector Utilities Index price)","13874J","CME ","138 ","F20","Combined"
"E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE",230703,2023-07-03,13874J,CME ,00,138 ,   26407,   14963,    4918,       0,    7608,   15224,    1429,     614,    3061,      42,       0,       0,       0,   24656,   24674,    1751,    1733,     930,     769,   -2160,       0,      71,    2708,       9,    -150,      41,      -1,       0,       0,       0,     698,     597,     232,     333,  100.0,   56.7,   18.6,    0.0,   28.8,   57.7,    5.4,    2.3,   11.6,    0.2,    0.0,    0.0,    0.0,   93.4,   93.4,    6.6,    6.6,     29,      5,      6,      0,      8,.,.,.,      5,.,      0,      0,      0,     15,     16,    69.2,    74.5,    84.2,    85.2,    66.7,    72.6,    78.8,    81.7,"($100 x S&P Select Sector Utilities Index price)","13874J","CME ","138 ","F20","Combined"
